a1	【A1】adj.第一等的;最佳的;头等的
income	【income】n.(年)所得;收益
incomer	【incomer】n.进来者;新来者
incomering	【incomering】n.进来;收入;adj.进来的;继任的
incommensurable	【incommensurable】adj.不能比较的;[数]无公约数的
incommensurate	【incommensurate】adj.不相称的;不庇较量的;不能通约的
incommode	【incommode】vt.使感不便妨碍
incommodious	【incommodious】adj.不便的
incommunicable	【incommunicable】adj.不能传达的
incomparable	【incomparable】adj.无比的
incompatibility	【incompatibility】n.矛盾
incompatible	【incompatible】adj.不相容的;矛盾的
incompetence	【incompetence】n.无能
incompetency	【incompetency】=incompetence
incompetent	【incompetent】n.无能的人;adj.无能的
incomplete	【incomplete】adj.不完全的
incomprehensible	【incomprehensible】adj.不能理解的
incomprehension	【incomprehension】n.不了解
incomprehensive	【incomprehensive】adj.不广的;有限的
incomputable	【incomputable】adj.不能想像的;难信的
inconceivable	【inconceivable】adj.不能想像的;难信的
inconclusive	【inconclusive】adj.不确定的;无结果的
incondensable	【incondensable】adj.不能凝缩的
incondite	【incondite】adj.拙劣的
incongruity	【incongruity】n.不调和
incongruous	【incongruous】adj.不适合的;不调和的
inconsequent	【inconsequent】adj.前後不符的;不得要领的
inconsequential	【inconsequential】adj.不连贯的;不重要的
inconsiderable	【inconsiderable】adj.不足取的;琐细的
inconsiderate	【inconsiderate】adj.不加考虑的;不替别人着想的
inconsistency	【inconsistency】n.不一致;自相矛盾
inconsistent	【inconsistent】adj.不一致的;无定见的
inconsolable	【inconsolable】adj.没法安慰的
inconspicuous	【inconspicuous】adj.没法安慰的
inconstancy	【inconstancy】n.易变;轻浮
inconstant	【inconstant】adj.易变的;轻浮的
incontestable	【incontestable】adj.不能争辩的;无疑的
incontinent	【incontinent】adj.不能自制的
incontrovertible	【incontrovertible】adj.无争论余地的
inconvenience	【inconvenience】n.vt.(使)不便;麻烦
inconvenient	【inconvenient】adj.不方便的
inconvertibility	【inconvertibility】n.不能兑现的纸币
inconvertible	【inconvertible】adj.不能交换的;不能兑现的(纸币)
incorporate	【incorporate】v.组成;加入;合并;adj.合并的;组成团体
incorporation	【incorporation】n.结合;合并;团体;公司;[医]移植
incorporeal	【incorporeal】adj.无实体的;无形的
incorrect	【incorrect】adj.错误的;不适合的
incorrigible	【incorrigible】adj.不能改正的;无可救药的
incorruptibility	【incorruptibility】n.不朽;不腐败;清廉
incorruptible	【incorruptible】adj.不朽的;清廉的
increase	【increase】n.增进;增大;增加;v.增加;增强
increasing	【increasing】adj.渐增的;增加的
increasingly	【increasingly】adv.增加;渐增
incredible	【incredible】adj.[俗]难以相信;不能相信的;令人惊异的
incredibly	【incredibly】adv.不可相信地;[俗]非常
incredulity	【incredulity】n.怀疑
incredulous	【incredulous】adj.怀疑的
increment	【increment】n.增加;增加量
incretion	【incretion】n.内分泌(物)
incriminate	【incriminate】vt.归罪;控告
incrustation	【incrustation】n.外皮;矿滓;水垢;锈;镶嵌
incubate	【incubate】v.(人工)孵出;(病)潜伏
incubation	【incubation】n.孵化;潜伏期
incubator	【incubator】n.孵卵器;早产儿保育器
incubus	【incubus】n.梦魔
inculcate	【inculcate】vt.谆谆教诲
inculpate	【inculpate】vt.控告;连累;责难
incumbent	【incumbent】n.牧师;adj.义务的;责任的
incur	【incur】vt.招;蒙;惹起
incurable	【incurable】n.医不好的人;adj.无法治癒的
incursion	【incursion】n.侵入;袭击
incurve	【incurve】vt.使向内弯曲
indanthrene	【indanthrene】n.阴丹士林染料
indebted	【indebted】adj.负债的;蒙恩的
indecency	【indecency】n.猥亵
indecent	【indecent】adj.不体面的;猥亵的
indeciduous	【indeciduous】adj.[植]常录的
indecision	【indecision】n.犹豫
indecisive	【indecisive】adj.不决定的;无决断的
indeclinable	【indeclinable】n.[文]无变化语;adj.[文]无变化的
indecorous	【indecorous】adj.不适当的;不合礼节的
indeed	【indeed】adv.确实;真的
indefatigable	【indefatigable】adj.不屈不挠的;不倦的
indefeasible	【indefeasible】adj.难废除的(权利)
indefensible	【indefensible】adj.无法防卫的;无法辩护的
indefinable	【indefinable】adj.难定的;难下定义的;不明确的
indefinite	【indefinite】adj.不确定的;无限的
indefinitely	【indefinitely】adv.模糊地;无期限地
indelible	【indelible】adj.擦不掉的;难以忘的
indelicacy	【indelicacy】n.粗鄙;猥亵
indelicate	【indelicate】adj.粗鄙的;下流的
indemnify	【indemnify】vt.保障;豁免;赔偿
indemnity	【indemnity】n.赔偿;豁免;保险
indemonstrable	【indemonstrable】adj.不能证明的
indent	【indent】n.锯齿状;双联订单;[印]缩进排;vt.刻成锯齿状;[印]缩进排
indentation	【indentation】n.缺刻;凹入
indented	【indented】adj.锯齿状的;缩进排的
indenture	【indenture】n.vt.(订)合同;(立)契约
independence	【independence】n.独立;自主
independent	【independent】n.无党派人士;adj.独立的;自主的
independently	【independently】adv.独立;自主
indescribable	【indescribable】adj.难形容的
indestructible	【indestructible】adj.不能破坏的
indeterminate	【indeterminate】adj.不确定的;不定期的;[语音]模糊的
index	【index】n.索引;指标;食指;指数;vt.做索引
indian	【Indian】n.印度人;印第安人;印第安语;adj.印度的;印第安人的
indiarubber	【india-rubber】n.天然橡胶;(擦铅笔的)橡皮
indicate	【indicate】vt.指示;表示;表明有...需要
indication	【indication】n.指示;指标;徵候
indicative	【indicative】adj.[文]直陈的;指示的
indicator	【indicator】n.指示者;[化]指示剂
indict	【indict】vt.[法]控诉
indictment	【indictment】n.控诉
indifference	【indifference】n.不关心;冷淡;平凡
indifferency	【indifferency】=indifference
indifferent	【indifferent】adj.不关心的;冷淡的;公平的;[电]中性的;中立的;平凡的
indigence	【indigence】n.贫穷
indigency	【indigency】=indigence
indigenous	【indigenous】adj.本地的;生来的
indigent	【indigent】adj.非常贫困的
indigested	【indigested】adj.难消化的;未成熟的
indigestible	【indigestible】adj.不消化的;难领会的
indigestion	【indigestion】n.消化不良
indignant	【indignant】adj.愤慨的
indignantly	【indignantly】adv.愤怒地
indignation	【indignation】n.愤慨;愤激
indignity	【indignity】n.轻视;侮辱
indigo	【indigo】n.靛
indirect	【indirect】adj.间接的;迂回的
indirectly	【indirectly】adv.间接地;二次性地;迂远地
indiscernible	【indiscernible】adj.分辨不出的
indiscreet	【indiscreet】adj.轻率的
indiscretion	【indiscretion】n.轻率
indiscriminate	【indiscriminate】adj.不分青红皂白的;紊乱的
indispensable	【indispensable】adj.不可缺少的;绝对必需的
indispose	【indispose】vt.使厌;使不想
indisposed	【indisposed】adj.不愿意的;不舒服
indisposition	【indisposition】n.不愿意的;小病
indisputable	【indisputable】adj.不可争辩的;无可怀疑的
indissoluble	【indissoluble】adj.难溶;永久不变的
indistinct	【indistinct】adj.不清楚的
indistinguishable	【indistinguishable】adj.不能区别的
indium	【indium】n.[化]铟
indivertible	【indivertible】adj.难使转向的;难分心的
individual	【individual】n.个人;adj.个别的;单独的;个人的;特殊的
individualism	【individualism】n.个人主义
individuality	【individuality】n.个体;个性;pl.个人爱好
individualize	【individualize】vt.使有个性;使有个人的特色;单独处理
individually	【individually】adv.以个人资格;个性上;各自;各个地
indivisible	【indivisible】adj.不可分割的;极微的;除不尽的
indolence	【indolence】n.懒惰
indolent	【indolent】adj.懒惰的;懒散的
indomitable	【indomitable】adj.难屈服的;不屈不挠的
indonesian	【Indonesian】n.adj.印度尼西亚的(人)
indoor	【indoor】adj.户内的
indoors	【indoors】adv.在屋里;进屋里
indorse	【indorse】=endorse
indraft	【indraft】n.吸入;吸入物
indraught	【indraught】=indraft
indubitable	【indubitable】adj.无疑的
induce	【induce】n.引诱;诱发;惹起
inducement	【inducement】n.诱导;导因
induction	【induction】n.诱导;就职;归纳法
induction/coil	【induction&nbspcoil】n.感应(线)圈
induction/motor	【induction&nbspmotor】n.感应电动机
induction/pipe	【induction&nbsppipe】n.[机]吸管
inductive	【inductive】adj.归纳方法的;引入的;感应的
indulge	【indulge】v.耽迷;纵容;[俗]酗酒
indulgence	【indulgence】n.放纵;耽迷;[商]延付
indulgent	【indulgent】adj.纵容的;宽大的
induration	【induration】n.硬化;无情
industrial	【industrial】adj.工业的;产业的
industrialist	【industrialist】n.实业家
industrialization	【industrialization】n.工业化
industrialize	【industrialize】vt.工业化
industrious	【industrious】adj.勤勉的
industry	【industry】n.勤勉;工业
ine	【-ine】所制的;似…的;之;关於;属於;卤素
inebriate	【inebriate】n.酒徒;adj.醉的;vt.使醉
inedible	【inedible】adj.吃不得的
ineffable	【ineffable】adj.说不出的
ineffective	【ineffective】adj.无效的
ineffectual	【ineffectual】adj.无效的
inefficiency	【inefficiency】n.无效力;无能
inefficient	【inefficient】adj.无效力的;无能的
inelastic	【inelastic】adj.无弹力的
inelegance	【inelegance】n.粗野;不雅
inelegant	【inelegant】adj.不风雅的;粗俗的
ineligible	【ineligible】adj.不能入选的;不合格的
ineluctable	【ineluctable】adj.难避免的
inept	【inept】adj.愚昧的
inequality	【inequality】n.不平等;不平坦
inequity	【inequity】n.不公平;不公正
ineradicable	【ineradicable】adj.不能断根的;根深蒂固的
inerrable	【inerrable】adj.不会错的;没有错的
inert	【inert】adj.[理]无能为力的;[化]惰性的;不起作用的;迟钝的
inertia	【inertia】n.[理]惯性;惯量;迟钝
inestimable	【inestimable】adj.难估量的
inevitable	【inevitable】adj.无法逃避的;一定发生的
inevitably	【inevitably】adv.不可避免地;必然地
inexact	【inexact】adj.不精确的
inexactitude	【inexactitude】n.不精密
inexhaustible	【inexhaustible】adj.用不完的;无穷的;不疲乏的
inexorable	【inexorable】adj.说不动的;不能改变的
inexpedience	【inexpedience】n.不适当
inexpedient	【inexpedient】adj.不适当的;不明智的
inexpensive	【inexpensive】adj.廉价的
inexperience	【inexperience】n.无经验的
inexpert	【inexpert】adj.不熟练的
inexpiable	【inexpiable】adj.不能赎的(罪);不能消释的(仇恨)
inexplicable	【inexplicable】adj.费解的
inexplicit	【inexplicit】adj.模糊的
inexpressible	【inexpressible】adj.表示不出的
inexpressive	【inexpressive】adj.无表情的
inextinguishable	【inextinguishable】adj.不能消灭的
inextricable	【inextricable】adj.解不开的;不能解救的
infallibility	【infallibility】n.绝对可靠性
infallible	【infallible】adj.不会错的
infamous	【infamous】adj.不名誉的
infamy	【infamy】n.臭名;丑行
infancy	【infancy】n.幼儿;adj.婴儿的;早期的
infancy/school	【infancy&nbspschool】n.幼儿园
infant	【infant】n.儿童;adj.小孩的
infanticide	【infanticide】n.杀婴;杀婴罪;杀婴犯
infantile	【infantile】adj.婴儿的;幼稚的
infantine	【infantine】=infantile
infantry	【infantry】n.[集]步兵
infantryman	【infantryman】n.步兵
infatuate	【infatuate】vt.弄糊涂;迷恋
infect	【infect】vt.使感染;传染
infection	【infection】n.感染;传染病
infectious	【infectious】adj.传染的
infer	【infer】v.推理;推论;表示
inference	【inference】n.推理;推论;结论
inferior	【inferior】n.下属;能力较低者;adj.下级的;下级的
inferiority	【inferiority】n.下级;下等
infernal	【infernal】adj.地狱的;[俗]凶狠的
inferno	【inferno】n.地狱
infest	【infest】vt.猖獗;蔓延;侵优
infidel	【infidel】n.不信教者;异教徒;adj.不信教的
infidelity	【infidelity】n.不信教;不义;(夫妻间)不忠实
infiltrate	【infiltrate】v.(使)渗进
infiltration	【infiltration】n.渗入
infinite	【infinite】n.无限物;[数]无穷大;adj.无限的;巨大的
infinitely	【infinitely】adv.无限地;无数地;庞大地
infinitesimal	【infinitesimal】adj.[数]无限小的
infinitive	【infinitive】n.adj.[文]不定式(的)
infinitude	【infinitude】n.无限;无穷
infirm	【infirm】adj.虚弱的;不巩固的
infirmary	【infirmary】n.诊疗室;诊所
infirmity	【infirmity】n.虚弱;懦弱
inflame	【inflame】v.激怒;煽动;(使)发炎;燃烧
inflammable	【inflammable】adj.易着火的;易激动的
inflammation	【inflammation】n.燃烧;红肿
inflammatory	【inflammatory】adj.泪怒的;煽动的
inflate	【inflate】vt.使膨胀;抬高(物价)
inflation	【inflation】n.膨胀;[经]通货膨胀;(物价)暴涨;浮夸
inflect	【inflect】vt.使弯曲;[文]使词形变化;调节(音调)
inflection	【inflection】=inflexion
inflexible	【inflexible】adj.不曲的;不屈的;坚定不移的
inflexion	【inflexion】n.弯曲;词形变化;音调变化
inflict	【inflict】vt.加以(打击);使受(痛苦，处罚)
infliction	【infliction】n.打击;痛苦
inflow	【inflow】n.流入
influence	【influence】n.影响;势力;[电]感应;vt.影响;左右;改变
influent	【influent】n.支流;adj.流入的
influential	【influential】adj.发生影响的;有势力的
influenza	【influenza】n.[医]流行性感冒
influx	【influx】n.流入;汇集
inform	【inform】v.通知;报告
informal	【informal】adj.非正式的
informality	【informality】n.非正式;不拘礼节
informant	【informant】n.通知者;报告者
information	【information】n.通知;报告;消息;情报
informed	【informed】adj.见闻广的;有情报根据的
informer	【informer】n.告发者;通报者
infraction	【infraction】n.违犯;违背
infrared	【infrared】adj.[理]红外线的
infrequent	【infrequent】adj.稀有的
infringe	【infringe】vt.破坏;违背;侵犯
infringement	【infringement】n.违反;违背;侵犯(商标，版权)行为
infuriate	【infuriate】vt.使激怒
infuse	【infuse】vt.注入;灌轮
ing	【-ing】构成动名词;动作;职业;配合;材料;动作的结果
ingenious	【ingenious】adj.机巧的;有发明天才的
ingenuity	【ingenuity】n.发明才能;机巧
ingenuous	【ingenuous】adj.率直的;天真的
inglorious	【inglorious】adj.可耻的;不光彩的
ingoing	【ingoing】adj.进来的;洞察的
ingot	【ingot】n.铸块;锭
ingrained	【ingrained】adj.习染极深的
ingratiate	【ingratiate】vt.迎合;讨好
ingratitude	【ingratitude】n.忘恩负义
ingredient	【ingredient】n.成分;要素
ingress	【ingress】n.进入;入场权;入口
ingrowing	【ingrowing】adj.向内生长的
ingurgitate	【ingurgitate】v.狼和虎咽
inhabit	【inhabit】vt.居住;栖息
inhabitant	【inhabitant】n.居民;居住者
inhabitation	【inhabitation】n.居住;住处
inhalation	【inhalation】n.吸入(物)
inhale	【inhale】v.吸入;[美俗]喝;抽烟
inherent	【inherent】adj.固有的;生来的
inherit	【inherit】vt.继承;遗传
inheritance	【inheritance】n.继承;遗产;天赋
inheritress	【inheritress】n.女继承人
inhibit	【inhibit】vt.制止;禁止
inhibition	【inhibition】n.禁止;制止
inhospitable	【inhospitable】adj.冷淡的;荒凉的
inhuman	【inhuman】adj.不人道的;残忍的
inhumanity	【inhumanity】n.无情;残忍
inimical	【inimical】adj.敌视的;有害的
inimitable	【inimitable】adj.仿效不来的;无比的
iniquitous	【iniquitous】adj.不正的;不义的;邪恶的
iniquity	【iniquity】n.不正;罪过
initial	【initial】n.首字母;pl.姓名首字母;adj.最初的;字首的;初期的;vt.(用首子母)签名
initiate	【initiate】n.adj.获传授初步知识的(人);新人会的(人);vt.开始;引进;传授
initiation	【initiation】n.开始;创始;加入;入会式
initiative	【initiative】n.主动性;积极性;创始;提案;提案权;[军]先发(制人);adj.初步的;创始的
inject	【inject】v.注射;加入
injection	【injection】n.注射(液);灌肠;[机]喷射
injector	【injector】n.注射者;注射器
injudicious	【injudicious】adj.不明智的;不谨慎的;久缺考虑的
injunction	【injunction】n.命令;[法]禁制令
injure	【injure】vt.伤害;损害
injurious	【injurious】adj.有害的;侮辱的
injuriously	【injuriously】adv.有害地;侮辱地
injury	【injury】n.损伤;毁坏;侮辱
injustice	【injustice】n.不公平;不义;伤害
ink	【ink】n.墨水;油墨
inkbag	【ink-bag】n.(乌贼的)墨囊
ink/fish	【ink&nbspfish】n.墨鱼;乌贼
inkling	【inkling】n.暗示;略知
inkpad	【inkpad】n.印泥
ink/pencil	【ink&nbsppencil】n.复写用颜色铅笔
ink/recorder	【ink&nbsprecorder】n.油墨印码器
inkstand	【inkstand】n.式墨水瓶(架)
inky	【inky】adj.墨水似的;给墨水弄污的
inlaid	【inlaid】adj.镶嵌的
inland	【inland】n.adj.内地(的);国内(的)
inlaw	【-in-law】姻亲
in/law	【in&nbsplaw】n.[俗]姻亲;外戚
inlay	【inlay】n.镶嵌物;(-laid)vt.镶嵌;插入
inlet	【inlet】n.海湾;入口
inly	【inly】adv.[诗]在内;在心中
inmate	【inmate】n.家人;同居人
inmost	【inmost】adj.最内部的;秘藏心中的
inn	【inn】n.小旅馆;客栈
innate	【innate】adj.天赋的;固有的
inner	【inner】adj.内部的
innermost	【innermost】=inmost
inner/space	【inner&nbspspace】n.水下空间
inner/tube	【inner&nbsptube】n.(轮胎的)里胎
innings	【innings】n.[球戏]盘;局;执政期间
innocence	【innocence】n.无罪;纯洁;清白
innocent	【innocent】n.无罪的人;天真的孩子;adj.无罪的;无害的;单纯的;天真的
innocently	【innocently】adv.无罪地;无邪地
innocuous	【innocuous】adj.无害的;无毒的
innovate	【innovate】vi.改变;革新
innovation	【innovation】n.革新;改变
innovator	【innovator】n.革新者;改革者
innoxious	【innoxious】adj.无害的;无毒的
innuendo	【innuendo】n.vi.影射;中伤
innumerable	【innumerable】adj.无数的
inobservance	【inobservance】n.玩忽;不守(法律)
inoculate	【inoculate】v.接芽;[医]接种;打预防针;灌输(思想)
inoculation	【inoculation】n.接芽;接木;种痘;灌输
inoffensive	【inoffensive】adj.无害的;不讨厌的
inoperable	【inoperable】adj.不宜动手术的
inoperative	【inoperative】adj.无效的
inopportune	【inopportune】adj.不合时宜的
inordinate	【inordinate】adj.过度的
inorganic	【inorganic】adj.无机的
inpatient	【inpatient】n.住院病人
inquest	【inquest】n.审问;验屍
inquietude	【inquietude】n.不安;动摇
inquire	【inquire】v.问;质问;盘查
inquiry	【inquiry】n.询问;调查
inquisition	【inquisition】n.调查;审问
inquisitive	【inquisitive】adj.好奇的;好追究的
inquisitor	【inquisitor】n.审问者;检察官
inroad	【inroad】n.侵入;侵犯
insalubrious	【insalubrious】adj.对身体有害的;不利於健康的
insane	【insane】adj.癫狂的
insanitary	【insanitary】adj.不卫生的
insanity	【insanity】n.疯狂
insatiable	【insatiable】adj.贪得无餍的
insatiate	【insatiate】adj.永远不知足的
inscribe	【inscribe】vt.写;刻;题赠;铭记
inscription	【inscription】n.刻入;铭刻
inscrutable	【inscrutable】adj.不可思议的
insect	【insect】n.昆虫;[俗]虫
insecticide	【insecticide】n.杀虫剂
insectivorous	【insectivorous】adj.食虫的
insectology	【insectology】n.昆虫学
insecure	【insecure】adj.不安全的
insecurity	【insecurity】n.不安全
inseminate	【inseminate】vt.播(种);使受孕
insensate	【insensate】adj.无知觉的;无感情的;胡闹的
insensibility	【insensibility】n.无感觉;冷淡
insensible	【insensible】adj.无感觉的;冷淡的
insensitive	【insensitive】adj.感觉迟钝的;无感觉的
inseparable	【inseparable】adj.分不开的
insert	【insert】vt.插进;写进
insertion	【insertion】n.插入(物);记入
inset	【inset】n.插入(物);vt.插入
inshore	【inshore】adj.adv.近岸的;向陆的
inside	【inside】n.内部;内侧;内容;[俗]肚子;adj.内的;内部的;内侧;adv.在内;在内部;在里面;pre.在内;在内部
insider	【insider】n.熟知内幕的人
insidious	【insidious】adj.暗害的;阴险的
insight	【insight】n.看破;眼光;见识
insignia	【insignia】n.pl.徽章;勳章;国徽
insignificance	【insignificance】n.无意义;琐细
insignificancy	【insignificancy】=insignificance
insignificant	【insignificant】adj.琐细的;无意义的
insincere	【insincere】adj.无诚意的;伪善的
insincerity	【insincerity】n.无诚意;伪善
insinuate	【insinuate】v.暗示;用迂回曲折的方法进入
insinuation	【insinuation】n.暗示;巴结
insipid	【insipid】adj.没味的;枯燥的
insist	【insist】v.强要;坚持
insistence	【insistence】n.坚持;强调
insistency	【insistency】=insistence
insistent	【insistent】adj.坚持的;显着的
insolence	【insolence】n.傲慢;横蛮
insolent	【insolent】adj.傲慢的;横蛮的
insolubility	【insolubility】n.不可溶(性);不能解决
insoluble	【insoluble】adj.不溶解的;不能解决的
insolvent	【insolvent】n.破产者;adj.破了产的
insomnia	【insomnia】n.失眠(症)
insomuch	【insomuch】adv.到...(的程度);因为
inspect	【inspect】vt.检查;审查;视察
inspection	【inspection】n.检查;检阅;视察
inspector	【inspector】n.检查员;视察员;警长
inspectoscope	【inspectoscope】n.(检查行李的)X光透视器
inspiration	【inspiration】n.灵感
inspire	【inspire】vt.鼓舞;使生灵感
inspirit	【inspirit】vt.鼓舞;激发
instability	【instability】n.不安定;动摇性
install	【install】vt.任命;装设
installation	【installation】n.就任;装置
installment	【installment】n.分期摊付(金)
instalment	【instalment】=installment
instance	【instance】n.例;sing.要求;建议;vt.举例
instant	【instant】n.即刻;瞬间;adj.迫切的;本月的;立即的
instantaneous	【instantaneous】adj.即时的;同时的
instantly	【instantly】adv.立即;即刻
instead	【instead】adv.代替;而不...
instigate	【instigate】vt.煽动;怂恿;挑起
instigation	【instigation】n.刺激物;煽动;怂恿
instigator	【instigator】n.煽动者;指使者
instil	【instil】=instill
instill	【instill】vt.使浸染;灌轮
instinct	【instinct】n.本能;直觉;adj.生动的;充满的
instinctive	【instinctive】adj.本能的;天性的
instinctively	【instinctively】adv.本能;直觉
institute	【institute】n.协会;学会;学院;研究所;pl.原理;vt.设立;制定;任命
institution	【institution】n.设立;制度;学院;机关;[俗]出名人(物)
instruct	【instruct】vt.教;指令
instruction	【instruction】n.教导;指令
instructive	【instructive】adj.教训的;有益的
instructor	【instructor】n.教师;讲师
instrument	【instrument】n.仪器;工具;乐器;应负...责任的人;文件
instrumental	【instrumental】adj.作为...媒介的;管弦乐的
instrumentality	【instrumentality】n.手段;媒介;帮助
insubordinate	【insubordinate】adj.不服从的;反抗的
insubordination	【insubordination】n.不顺从
insufferable	【insufferable】adj.难忍受的
insufficiency	【insufficiency】n.不足
insufficient	【insufficient】adj.不足的
insular	【insular】adj.岛国的;偏狭的
insularity	【insularity】n.岛国根性;偏狭性
insulate	【insulate】v.隔离;[电]绝缘
insulation	【insulation】n.隔离;绝缘(材料)
insulator	【insulator】n.隔离者;绝缘物
insulin	【insulin】n.胰岛素
insult	【insult】n.vt.侮辱
insuperable	【insuperable】adj.不能克服的
insupportable	【insupportable】adj.难堪的;无根据的
insurance	【insurance】n.保险;保证
insure	【insure】vt.投保;保证
insurgent	【insurgent】adj.起义的;反叛的;n.起义者;叛变者
insurmountable	【insurmountable】adj.难克服的
insurrection	【insurrection】n.叛乱;起义
insurrectionist	【insurrectionist】n.起义者;叛徒
intact	【intact】adj.完整的;完封未动的
intake	【intake】n.引入;引入量
intangible	【intangible】adj.没实体的;无形的;不可捉摸的
integral	【integral】adj.完整的;[数]整数的;积分的
integrate	【integrate】v.使完整;[数]积分;总和
integration	【integration】n.完成;集成;[数]积分
integrity	【integrity】n.正直;完整
intellect	【intellect】n.智力;智能;理解力
intellectual	【intellectual】n.知识份子;adj.(有)智力的
intelligence	【intelligence】n.才智;知识;情报;消息
intelligent	【intelligent】adj.聪明的;有理性的;有才智的
intelligentsia	【intelligentsia】adj.知识份子
intelligentzia	【intelligentzia】=intelligentsia
intelligible	【intelligible】adj.可以理解的;清楚明白的
intemperance	【intemperance】n.无节制
intemperate	【intemperate】adj.不加节制的
intend	【intend】vt.打算;企图
intended	【intended】n.adj.有意的;[俗]已订婚的(妻子)
intense	【intense】adj.强烈的;热烈的;热情的
intensely	【intensely】adv.激烈;热心;热情
intensification	【intensification】n.加强;强化
intensify	【intensify】v.加强;变强
intensity	【intensity】n.强烈;强度
intensive	【intensive】adj.密集的;加强的;
intent	【intent】n.意图;adj.专心的
intention	【intention】n.意图;目的;意旨
intentional	【intentional】adj.有意的;故意的
intently	【intently】adv.专心地
inter	【inter】vt.埋葬
interact	【interact】n.幕间;穿插;vi.相互作用(影响)
interaction	【interaction】n.相互作用(影响)
interbreed	【interbreed】v.(使)杂交
intercede	【intercede】vi.调停;代为请求
intercept	【intercept】vt.遮断;阻断;截夺;截击
intercepter	【intercepter】=interceptor
interception	【interception】n.遮断;截取
interceptor	【interceptor】n.截击战斗机;阻止者
intercession	【intercession】n.调解;代为求情
interchange	【interchange】v.交替;互换
interchangeable	【interchangeable】adj.可交换的
intercollegiate	【intercollegiate】adj.大学(学院)间的
intercolonial	【intercolonial】adj.殖民地间的
intercom	【intercom】n.对讲机;内部通讯装置
interconnect	【interconnect】v.(使)互相联络
intercourse	【intercourse】n.交际;关系;性交
intercross	【intercross】n.杂交;v.(使)交叉;(使)杂交
interdependence	【interdependence】n.互相依存
interdependent	【interdependent】adj.互相依存的
interdict	【interdict】n.禁令;vt.停止;制止
interest	【interest】n.利害关系;利益;兴趣;利息;势力;vt.使感兴趣;使生关系
interested	【interested】adj.对...感兴趣的;有利害关系的
interesting	【interesting】adj.有兴趣的;有趣的
interface	【interface】n.界面
interfere	【interfere】vi.妨碍;干涉
interference	【interference】n.[理](音波)干扰;干涉;[无]扰乱
interflow	【interflow】n.vi.交流
interfuse	【interfuse】v.使渗入;混合
interim	【interim】n.中间;暂时;临时
interior	【interior】n.内部;内地;内政;[俗]肚子;adj.内部的;内地的
interjacent	【interjacent】adj.居间的
interject	【interject】vt.插入
interjection	【interjection】n.感叹声;[文]感叹词
interlace	【interlace】v.(使)交错;错杂
interlard	【interlard】vt.混杂
interline	【interline】vt.写在行间
interlock	【interlock】v.结合;连锁着
interloper	【interloper】n.侵夺他人利益者
interlude	【interlude】n.幕间;插曲
intermarry	【intermarry】vt.通婚
intermeddle	【intermeddle】vi.干涉
intermediary	【intermediary】n.居间人;调解人;adj.居间的
intermediate	【intermediate】n.中间物;中间人;adj.中间的;中级的
intermediator	【intermediator】n.中人;调人
interminable	【interminable】adj.无限的;冗长的
intermingle	【intermingle】v.混合
intermission	【intermission】n.中止;中断;幕
intermit	【intermit】v.中止;间断
intermittent	【intermittent】adj.间断的;间歇的
intern	【intern】vt.扣留
internal	【internal】adj.内的;内部的;国内的;内政的;内服的;内心的
international	【international】adj.国际(上)的
internationalize	【internationalize】vt.使国际化
interne	【interne】n.[美]住院实习医生
internecine	【internecine】adj.自相残杀的
internee	【internee】n.被拘留者
internet	【internet】n.电脑网际互联网路
internist	【internist】n.内科医师
internment	【internment】n.拘留;收容
internship	【internship】n.实习医师的地位
internuncio	【internuncio】n.教廷公使;罗马教宗的代理使节
interpellate	【interpellate】vt.(议会中)质问
interpellation	【interpellation】n.质问;质询
interphone	【interphone】n.互通电话机;对话机
interplay	【interplay】n.相互作用
interpolate	【interpolate】vt.插入;窜改
interpolation	【interpolation】n.插入;潻改
interpose	【interpose】vt.插入;调停
interposition	【interposition】n.放在当中;插入;干涉;调停;插入物
interpret	【interpret】vt.翻译;解释
interpretation	【interpretation】n.解释;演绎;翻译;口译
interpreter	【interpreter】n.翻译者;口译员;解释者;演绎者
interregnum	【interregnum】n.空位期;中绝期(旧王死新王尚未即位的期间)
interrelate	【interrelate】v.(使)相互联系
interrogate	【interrogate】v.质问;审问
interrogation	【interrogation】n.质问;
interrogation/mark	【interrogation&nbspmark】n.疑问号
interrogative	【interrogative】n.[文]疑问词;adj.疑问的;质问的
interrogatively	【interrogatively】adv.疑问地;疑惑地
interrupt	【interrupt】vt.遮断;阻止;间断
interruption	【interruption】n.遮断;中止
intersect	【intersect】v.横断;交叉
interspace	【interspace】n.空隙
intersperse	【intersperse】vt.散布;点缀
interstate	【interstate】adj.[美]州际的
intertwine	【intertwine】v.缠结
interurban	【interurban】adj.城市间的
interval	【interval】n.间隔;当间;幕日休息
intervene	【intervene】vi.插进;干涉
intervention	【intervention】n.调停;干涉
interview	【interview】n.vt.谒见;谈话;访问;面试
interweave	【interweave】vt.织进;使混杂
intestate	【intestate】adj.没有遗嘱的
intestinal	【intestinal】adj.肠的;在肠内的
intestine	【intestine】n.(pl.)阳adj.内部的;国内的
intimacy	【intimacy】n.亲密;亲近
intimate	【intimate】n.密友;adj.亲密的;内部的;内心的;vt.暗示;表示;告诉
intimately	【intimately】adv.亲密地;内心地
intimation	【intimation】n.暗示;表示;通知
intimidate	【intimidate】vt.威吓
